Monster		Members	Combat level	Hitpoints	Attack level	Defence level	Magic level	Ranged level	Stab defence	Slash defence	Crush defence	Magic defence	Light Ranged defence	Standard Ranged defence	Heavy Ranged defence
Trapped Soul - Normal	Trapped Soul Normal	Members	30	30	25	20	1	1	0	0	0	0	0	0	0
Zombie (Stronghold of Security) - Level 30, 2	Zombie (Stronghold of Security) Level 30, 2	Free-to-play	30	30	25	20	1	1	0	0	0	0	0	0	0
Penance Fighter - Wave 1	Penance Fighter Wave 1	Members	30	28	26	25	1	1	0	0	0	0	0	0	0
Mudskipper - Level 30	Mudskipper Level 30	Members	30	20	29	26	1	1	0	0	0	0	0	0	0
Temple Guardian	Temple Guardian	Members	30	45	20	20	1	1	0	0	0	0	0	0	0
Undead Lumberjack - Level 30	Undead Lumberjack Level 30	Members	30	10	73	10	1	1	0	0	0	0	0	0	0
Zombie (Stronghold of Security) - Level 30, 3	Zombie (Stronghold of Security) Level 30, 3	Free-to-play	30	30	25	20	1	1	0	0	0	0	0	0	0
Monk of Zamorak - Level 30	Monk of Zamorak Level 30	Free-to-play	30	25	25	25	40	1	0	0	0	0	0	0	0
Mind Golem - Golem	Mind Golem Golem	Free-to-play	30	40	14	25	1	1	5	5	0	2	10	10	10
Mind Golem - Rubble	Mind Golem Rubble	Free-to-play	30	40	14	25	1	1	5	5	0	2	10	10	10
Zombie (Stronghold of Security) - Level 30, 1	Zombie (Stronghold of Security) Level 30, 1	Free-to-play	30	30	25	20	1	1	0	0	0	0	0	0	0
Witch's experiment - Spider	Witch's experiment Spider	Members	30	31	28	29	1	1	0	0	0	0	0	0	0
Abyssal antibody	Abyssal antibody	Members	30	50	1	1	1	1	0	0	0	0	0	0	0
Jaguar cub	Jaguar cub	Members	31	40	25	25	1	1	0	0	0	0	0	0	0
Camp dweller - Level 31 (3)	Camp dweller Level 31 (3)	Members	31	30	25	25	1	1	0	0	0	0	0	0	0
Poison spider - Level 31	Poison spider Level 31	Members	31	25	28	28	1	1	20	17	10	14	14	14	14
Camp dweller - Level 31 (4)	Camp dweller Level 31 (4)	Members	31	30	25	25	1	1	0	0	0	0	0	0	0
Camp dweller - Level 31 (2)	Camp dweller Level 31 (2)	Members	31	30	25	25	1	1	0	0	0	0	0	0	0
Vulture - Flying	Vulture Flying	Members	31	10	40	10	1	1	0	0	0	0	0	0	0
Vulture - Landed	Vulture Landed	Members	31	10	40	10	1	1	0	0	0	0	0	0	0
Mounted terrorbird gnome - Level 31	Mounted terrorbird gnome Level 31	Members	31	36	25	25	1	1	16	16	18	15	10	10	10
Mudskipper - Level 31	Mudskipper Level 31	Members	31	20	30	29	1	1	0	0	0	0	0	0	0
Camp dweller - Level 31 (1)	Camp dweller Level 31 (1)	Members	31	30	25	25	1	1	0	0	0	0	0	0	0
Giant lobster (Ghosts Ahoy)	Giant lobster (Ghosts Ahoy)	Members	32	32	18	40	1	1	5	15	5	0	5	5	5
Snothead	Snothead	Members	32	50	15	15	15	1	10	10	5	5	20	20	20
Abyssal leech (The Scar) - Level 32	Abyssal leech (The Scar) Level 32	Members	32	50	50	1	1	1	50	50	10	50	10	10	10
King Scorpion	King Scorpion	Free-to-play	32	30	30	23	1	1	5	15	15	0	5	5	5
Outlaw	Outlaw	Free-to-play	32	20	35	25	1	1	0	0	0	0	0	0	0
Corrupted Spider	Corrupted Spider	Members	32	12	48	4	4	0	0	0	0	0	0	0	0
Penance Fighter - Wave 2	Penance Fighter Wave 2	Members	32	29	28	27	1	1	0	0	0	0	0	0	0
Penance Ranger - Wave 3	Penance Ranger Wave 3	Members	32	29	32	33	1	34	0	0	0	0	0	0	0
Tribesman - Dark brown	Tribesman Dark brown	Members	32	39	23	26	1	1	4	6	6	0	0	0	0
Tribesman	Tribesman	Members	32	39	23	26	1	1	4	6	6	0	0	0	0
Tribeswoman - Dark brown	Tribeswoman Dark brown	Members	32	39	23	26	1	1	4	6	6	0	0	0	0
Black Knight (Wanted!)	Black Knight (Wanted!)	Members	32	42	25	25	1	1	73	76	70	-11	72	72	72
Afflicted - Level 32	Afflicted Level 32	Members	32	26	26	36	1	1	0	0	0	0	0	0	0
Tribesman - Light brown	Tribesman Light brown	Members	32	39	23	26	1	1	4	6	6	0	0	0	0
Jal-Nib	Jal-Nib	Members	32	10	1	15	15	1	-20	-20	-20	-20	-20	-20	-20
Tribeswoman - Light brown	Tribeswoman Light brown	Members	32	39	23	26	1	1	4	6	6	0	0	0	0
Billy Goat - Brown	Billy Goat Brown	Members	33	28	31	29	1	1	10	10	0	0	10	10	10
Black Knight - Hostile, male	Black Knight Hostile, male	Free-to-play	33	42	25	25	1	1	73	76	70	-11	72	72	72
Black Knight - Passive, female	Black Knight Passive, female	Free-to-play	33	42	25	25	1	1	73	76	70	-11	72	72	72
Crystalline Bat	Crystalline Bat	Members	33	14	24	2	2	0	0	0	0	0	0	0	0
Watchman	Watchman	Members	33	22	31	31	1	1	24	14	19	-4	16	16	16
Druid	Druid	Members	33	30	28	32	25	1	0	0	0	0	0	0	0
Billy Goat - Tan	Billy Goat Tan	Members	33	28	31	29	1	1	10	10	0	0	10	10	10
Black Knight - Passive, male	Black Knight Passive, male	Free-to-play	33	42	25	25	1	1	73	76	70	-11	72	72	72
Torcher - Level 33	Torcher Level 33	Members	33	18	0	25	46	0	0	0	0	0	0	0	0
Black knight (Port Sarim jail)	Black knight (Port Sarim jail)	Free-to-play	33	42	25	25	1	1	73	76	70	-11	72	72	72
Splatter - Level 33	Splatter Level 33	Members	33	23	22	53	22	0	0	0	0	0	0	0	0
Defiler - Level 33	Defiler Level 33	Members	33	27	0	17	0	46	0	0	0	0	0	0	0
Grizzly bear cub - Level 33	Grizzly bear cub Level 33	Members	33	35	30	25	1	1	0	0	0	0	0	0	0
Black Knight - Hostile, female	Black Knight Hostile, female	Free-to-play	33	42	25	25	1	1	73	76	70	-11	72	72	72
Emissary Acolyte - 5	Emissary Acolyte 5	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Emissary Acolyte - 6	Emissary Acolyte 6	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Tower Archer - East	Tower Archer East	Members	34	50	10	10	1	40	0	0	0	24	40	40	40
Speedy Keith	Speedy Keith	Free-to-play	34	37	32	27	1	1	9	8	10	0	0	0	0
Undead Zealot - 2	Undead Zealot 2	Members	34	28	28	38	1	1	20	20	0	0	10	10	10
Water elemental	Water elemental	Members	34	30	30	30	30	30	0	0	0	0	0	0	0
Radiant sanguisphera	Radiant sanguisphera	Members	34	20	1	1	1	1	0	0	0	0	0	0	0
Undead Zealot - 1	Undead Zealot 1	Members	34	28	28	38	1	1	20	20	0	0	10	10	10
Spinolyp - Suspicious water	Spinolyp Suspicious water	Members	34	100	10	10	1	1							
Emissary Acolyte - 4	Emissary Acolyte 4	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Emissary Acolyte - 3	Emissary Acolyte 3	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Zombie pirate - Level 34	Zombie pirate Level 34	Members	34	40	40	20	1	1	0	0	0	0	0	0	0
Emissary Acolyte - 1	Emissary Acolyte 1	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Cultist - 3	Cultist 3	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Cultist - 2	Cultist 2	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Cultist - 4	Cultist 4	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Black Heather	Black Heather	Free-to-play	34	37	32	27	1	1	9	8	10	0	0	0	0
Cultist - 6	Cultist 6	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Air elemental	Air elemental	Members	34	30	40	30	40	20	0	0	0	0	0	0	0
Cultist - 1	Cultist 1	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Count Draynor (Nightmare Zone) - Normal Mode	Count Draynor (Nightmare Zone) Normal Mode	Members	34	35	30	30	1	1	2	1	3	0	0	0	0
Corrupted Rat	Corrupted Rat	Members	34	14	42	6	6	0	0	0	0	0	0	0	0
Crimson sanguisphera	Crimson sanguisphera	Members	34	20	1	1	1	1	0	0	0	0	0	0	0
Emissary Acolyte - 2	Emissary Acolyte 2	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Count Draynor	Count Draynor	Free-to-play	34	35	30	30	1	1	2	1	3	0	0	0	0
Afflicted - Level 34	Afflicted Level 34	Members	34	28	28	38	1	1	0	0	0	0	0	0	0
Cultist - 5	Cultist 5	Members	34	25	30	30	1	1	20	20	30	10	20	20	20
Deadly red spider	Deadly red spider	Free-to-play	34	35	30	30	1	1	15	16	7	12	16	16	16
Donny the lad	Donny the lad	Free-to-play	34	37	32	27	1	1	9	8	10	0	0	0	0
Flesh Crawler - Level 35	Flesh Crawler Level 35	Free-to-play	35	25	80	10	1	1	15	15	15	15	15	15	15
Snake (Mos Le'Harmless)	Snake (Mos Le'Harmless)	Members	35	25	25	50	1	1	0	0	0	0	0	0	0
Fire elemental	Fire elemental	Members	35	30	35	20	20	20	0	0	0	0	0	0	0
Earth elemental - Normal	Earth elemental Normal	Members	35	35	20	35	10	30	0	0	0	0	0	0	0
Spider (Ungael)	Spider (Ungael)	Members	35	4	45	20	1	1	20	20	10	17	20	20	20
Earth elemental - Ore	Earth elemental Ore	Members	35	35	20	35	10	30	0	0	0	0	0	0	0
Bush snake - 2	Bush snake 2	Members	35	25	25	50	1	1	0	0	0	0	0	0	0
Gadderanks	Gadderanks	Members	35	20	20	70	1	1	10	10	10	10	10	10	10
Bush snake - 1	Bush snake 1	Members	35	25	25	50	1	1	0	0	0	0	0	0	0
Undead Lumberjack - Level 35	Undead Lumberjack Level 35	Members	35	11	87	11	1	1	0	0	0	0	0	0	0
Skeleton (Wrath Altar)	Skeleton (Wrath Altar)	Members	35	60	30	24	1	1							
Ithoi the Navigator - NMZ	Ithoi the Navigator NMZ	Free-to-play	35	55	1	30	30	1	0	0	0	0	0	0	0
Ithoi the Navigator - Attackable	Ithoi the Navigator Attackable	Free-to-play	35	55	1	30	30	1	0	0	0	0	0	0	0
Ravager - Level 36	Ravager Level 36	Members	36	23	27	13	0	0	0	0	0	0	0	0	0
Spinner - Level 36	Spinner Level 36	Members	36	33	17	43	37	0	0	0	0	0	0	0	0
Sand Snake - Normal	Sand Snake Normal	Members	36	60	30	20	1	1	0	0	0	0	0	0	0
White Knight (Burthorpe)	White Knight (Burthorpe)	Members	36	52	27	21	1	1	83	76	70	-11	74	74	74
White Knight - Initiate (f)	White Knight Initiate (f)	Free-to-play	36	52	27	21	1	1	83	76	70	-11	74	74	74
Grizzly bear cub - Level 36	Grizzly bear cub Level 36	Members	36	35	32	28	1	1	0	0	0	0	0	0	0
White Knight - Initiate (m)	White Knight Initiate (m)	Free-to-play	36	52	27	21	1	1	83	76	70	-11	74	74	74
Sourhog	Sourhog	Members	37	40	35	25	25	35	0	30	10	30	0	0	0
Cockatrice - Unused	Cockatrice Unused	Members	37	37	22	37	1	1	10	10	0	10	0	0	0
Chaos druid warrior	Chaos druid warrior	Members	37	40	32	25	1	1	13	17	14	-4	14	14	14
Wilson	Wilson	Members	37	50	27	25	1	1	0	0	0	0	0	0	0
Sourhog (A Porcine of Interest)	Sourhog (A Porcine of Interest)	Members	37	40	35	25	25	35	0	30	10	30	0	0	0
Afflicted - Level 37	Afflicted Level 37	Members	37	30	30	40	1	1	0	0	0	0	0	0	0
Archer (Ardougne)	Archer (Ardougne)	Members	37	50	20	20	1	40	18	23	27	10	19	19	19
Cockatrice - Normal	Cockatrice Normal	Members	37	37	22	37	1	1	10	10	0	10	0	0	0
Cave lizard	Cave lizard	Members	37	20	38	35	1	1	5	15	15	0	5	5	5
Ice elemental (Royal Titans)	Ice elemental (Royal Titans)	Members	37	40	30	30	30	30	0	0	0	0	0	0	0
Jake	Jake	Members	37	50	27	25	1	1	0	0	0	0	0	0	0
Fire elemental (Royal Titans)	Fire elemental (Royal Titans)	Members	37	40	35	20	20	20	0	0	0	0	0	0	0
Palmer	Palmer	Members	37	50	27	25	1	1	0	0	0	0	0	0	0
Growthling	Growthling	Free-to-play	37	10	40	40	1	1	0	0	0	0	0	0	0
Jungle spider (Ape Atoll)	Jungle spider (Ape Atoll)	Members	37	35	50	10	10	1	0	0	0	0	0	0	0
Dark warrior - Level 37	Dark warrior Level 37	Members	37	50	30	20	10	1	10	20	40	0	0	0	0
Renegade knight	Renegade knight	Members	37	48	28	28	1	1	99	82	62	0	0	0	0
Penance Fighter - Wave 3	Penance Fighter Wave 3	Members	37	32	33	34	1	1	0	0	0	0	0	0	0
Scorpion - Level 37	Scorpion Level 37	Free-to-play	37	37	31	31	1	1	35	15	15	30	35	35	35
Guard (Burthorpe) - Black beard	Guard (Burthorpe) Black beard	Members	37	40	30	30	1	0	36	48	50	-4	38	38	38
Guard (Ranging Guild)	Guard (Ranging Guild)	Members	37	50	20	20	1	40	18	23	27	10	19	19	19
Guard (Burthorpe) - Grey beard	Guard (Burthorpe) Grey beard	Members	37	40	30	30	1	0	36	48	50	-4	38	38	38
White Knight - Proselyte (m)	White Knight Proselyte (m)	Free-to-play	38	52	30	25	1	1	83	76	70	-11	74	74	74
Penance Ranger - Wave 4	Penance Ranger Wave 4	Members	38	34	41	42	1	40	0	0	0	0	0	0	0
Shifter - Level 38	Shifter Level 38	Members	38	23	47	23	27	0	0	0	0	0	0	0	0
Scorpion - Level 38	Scorpion Level 38	Members	38	15	50	10	10	1	0	0	0	0	0	0	0
White wolf - Level 38	White wolf Level 38	Members	38	44	30	32	1	1	0	0	0	0	0	0	0
White Knight - Proselyte (f)	White Knight Proselyte (f)	Free-to-play	38	52	30	25	1	1	83	76	70	-11	74	74	74
Colonel Radick	Colonel Radick	Members	38	65	25	25	1	1	39	31	34	0	0	0	0
Zombie (Zogre Flesh Eaters)	Zombie (Zogre Flesh Eaters)	Members	39	50	30	30	1	1	0	0	0	0	0	0	0
Lesser demon (The Scar) - Level 39	Lesser demon (The Scar) Level 39	Members	39	40	1	30	1	1	0	0	0	0	0	0	0
Blessed spider - Song of the Elves	Blessed spider Song of the Elves	Members	39	32	35	35	1	1	15	16	7	12	16	16	16
Blessed spider - Normal	Blessed spider Normal	Members	39	32	35	35	1	1	15	16	7	12	16	16	16
Sir Mordred	Sir Mordred	Members	39	38	33	33	1	1	99	82	45	0	0	0	0
Soldier (tier 1)	Soldier (tier 1)	Members	39	50	30	30	1	1	0	0	0	0	-1	-1	-1
White Knight - Acolyte (m)	White Knight Acolyte (m)	Free-to-play	39	52	32	27	1	1	83	76	70	-11	74	74	74
White Knight - Acolyte (f)	White Knight Acolyte (f)	Free-to-play	39	52	32	27	1	1	83	76	70	-11	74	74	74
Zombie (Tarn's Lair) - Level 40	Zombie (Tarn's Lair) Level 40	Members	40	38	36	33	1	1	20	20	0	0	10	10	10
Undead Lumberjack - Level 40	Undead Lumberjack Level 40	Members	40	12	101	12	1	1	0	0	0	0	0	0	0
Angry bear - Level 40	Angry bear Level 40	Members	40	200	37	38	1	1	0	0	0	0			
Loar Shade - Shadow	Loar Shade Shadow	Members	40	38	45	26	0	0	0	0	0	0	0	0	0
Skeleton (Tarn's Lair) - Level 40	Skeleton (Tarn's Lair) Level 40	Members	40	26	33	52	1	1	50	40	0	0	40	40	40
Hopeless creature - Level 40	Hopeless creature Level 40	Members	40	25	38	39	1	1	0	0	0	0	0	0	0
Loar Shade - Shade	Loar Shade Shade	Members	40	38	45	26	0	0	0	0	0	0	0	0	0
Skeleton fremennik - Level 40	Skeleton fremennik Level 40	Members	40	25	53	30	1	1	14	18	15	-4	15	15	15
Blood jaguar	Blood jaguar	Members	40	100	40	28	1	1	0	0	0	0	0	0	0
Skeleton Champion	Skeleton Champion	Members	40	58	1	34	1	36	0	0	0	0	0	0	0
Abyssal leech	Abyssal leech	Members	41	10	95	25	1	1	50	50	100	50	10	10	10
Bandit (Pollnivneach) - Bearded	Bandit (Pollnivneach) Bearded	Members	41	30	40	20	1	1	0	9	8	10	0	0	0
Flesh Crawler - Level 41	Flesh Crawler Level 41	Free-to-play	41	25	100	10	1	1	15	15	15	15	15	15	15
Mammoth (unused NPC)	Mammoth (unused NPC)	Members	41												
Small scarab	Small scarab	Members	41	40	55	55	1	1	0	0	0	0	0	0	0
Penance Fighter - Wave 4	Penance Fighter Wave 4	Members	42	37	36	37	1	1	0	0	0	0	0	0	0
Spidine	Spidine	Members	42	35	37	36	1	1	0	0	0	0	0	0	0
Moss giant - Level 42 (Varlamore)	Moss giant Level 42 (Varlamore)	Members	42	60	30	30	1	1	0	0	0	0	0	0	0
Moss giant - Level 42	Moss giant Level 42	Free-to-play	42	60	30	30	1	1	0	0	0	0	0	0	0
Ghoul	Ghoul	Members	42	50	30	30	1	1	0	0	0	0	0	0	0
Dagannoth spawn	Dagannoth spawn	Members	42	35	50	25	1	1	0	0	0	0	0	0	0
Skeletal miner	Skeletal miner	Members	42	39	35	38	1	1	9	11	-2	1	4	4	4
Goblin guard	Goblin guard	Members	42	43	32	37	1	1	4	6	6	0	0	0	0
Skeleton (Tarn's Lair) - Level 42 (Hammer)	Skeleton (Tarn's Lair) Level 42 (Hammer)	Members	42	42	36	30	1	1	50	40	0	0	40	40	40
Fear reaper - Level 42	Fear reaper Level 42	Members	42	25	39	40	1	1	0	0	0	0	0	0	0
Skeleton (Tarn's Lair) - Level 42 (Sword)	Skeleton (Tarn's Lair) Level 42 (Sword)	Members	42	40	40	40	1	1	50	40	0	0	40	40	40
Ugthanki	Ugthanki	Members	42	45	35	35	0	0	0	0	0	0	0	0	0
Grizzly bear - Level 42	Grizzly bear Level 42	Members	42	35	40	35	1	1	0	0	0	0	0	0	0
Magic axe - Normal	Magic axe Normal	Members	42	44	38	29	1	1	10	5	15	5	10	10	10
White Knight - Partisan (m)	White Knight Partisan (m)	Free-to-play	42	55	32	27	1	1	83	76	70	-11	85	85	85
Witch's experiment - Bear	Witch's experiment Bear	Members	42	41	38	39	1	1	0	0	0	0	0	0	0
Hobgoblin - Hobgoblin (armed)	Hobgoblin Hobgoblin (armed)	Free-to-play	42	49	33	36	1	1	1	1	0	0	0	0	0
White Knight - Partisan (f)	White Knight Partisan (f)	Free-to-play	42	55	32	27	1	1	83	76	70	-11	85	85	85
Archer (Burthorpe)	Archer (Burthorpe)	Members	42	50	0	40	1	40	39	50	49	18	45	45	45
Lizard	Lizard	Members	42	40	38	35	1	1	5	15	15	0	5	5	5
Zombie (Tarn's Lair) - Level 42	Zombie (Tarn's Lair) Level 42	Members	42	40	39	35	1	1	20	20	0	0	10	10	10
Magic axe - Catacombs of Kourend	Magic axe Catacombs of Kourend	Members	42	44	38	29	1	1	10	5	15	5	10	10	10
Confusion beast - Level 43 (crush)	Confusion beast Level 43 (crush)	Members	43	28	42	40	1	1	0	0	0	0	0	0	0
Penance Ranger - Wave 5	Penance Ranger Wave 5	Members	43	41	44	46	1	45	0	0	0	0	0	0	0
Confusion beast - Level 43 (stab)	Confusion beast Level 43 (stab)	Members	43	28	42	40	1	1	0	0	0	0	0	0	0
Crypt rat	Crypt rat	Members	43	35	70	20	1	1	0	0	0	0	0	0	0
Melzar the Mad	Melzar the Mad	Free-to-play	43	44	37	34	40	1	0	0	0	0	0	0	0
Guardian of Armadyl - Female	Guardian of Armadyl Female	Members	43	40	37	37	1	1	43	55	50	-12	51	51	51
Pyrefiend - Regular	Pyrefiend Regular	Members	43	45	52	22	1	1	10	10	10	0	10	10	10
Khazard Scorpion	Khazard Scorpion	Members	44	40	40	34	1	1	5	15	15	0	5	5	5
Guard dog - Normal	Guard dog Normal	Members	44	49	35	37	1	1	0	0	0	0	0	0	0
Jungle spider	Jungle spider	Members	44	50	35	35	1	1	20	20	10	17	20	20	20
Guard dog - Hosidius	Guard dog Hosidius	Members	44	49	35	37	1	1	0	0	0	0	0	0	0
Guard dog (Construction)	Guard dog (Construction)	Members	44	49	35	37	1	1	0	0	0	0	0	0	0
Dwarf gang member - Level 44	Dwarf gang member Level 44	Members	44	40	40	35	1	1	7	7	0	0	7	7	7
Zombie (Stronghold of Security) - Level 44, 1	Zombie (Stronghold of Security) Level 44, 1	Free-to-play	44	40	35	40	1	1	0	0	22	0	0	0	0
Zogre	Zogre	Members	44	71	20	35	1	1	0	0	0	0	0	0	0
Skogre - 3	Skogre 3	Members	44	71	20	35	1	1	0	0	0	0	0	0	0
Splatter - Level 44	Splatter Level 44	Members	44	33	27	73	27	0	0	0	0	0	0	0	0
Zombie (Stronghold of Security) - Level 44, 2	Zombie (Stronghold of Security) Level 44, 2	Free-to-play	44	40	35	40	1	1	0	0	22	0	0	0	0
Skogre - 2	Skogre 2	Members	44	71	20	35	1	1	0	0	0	0	0	0	0
Zombie (Stronghold of Security) - Level 44, 3	Zombie (Stronghold of Security) Level 44, 3	Free-to-play	44	40	35	40	1	1	0	0	22	0	0	0	0
Skogre - 1	Skogre 1	Members	44	71	20	35	1	1	0	0	0	0	0	0	0
Tz-Kek - Level 45	Tz-Kek Level 45	Members	45	20	40	30	30	60	0	0	0	0	0	0	0
Undead Lumberjack - Level 45	Undead Lumberjack Level 45	Members	45	13	105	13	1	1	0	0	0	0	0	0	0
Guard (Desert Mining Camp) - Iron helm	Guard (Desert Mining Camp) Iron helm	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Skeleton - Level 45	Skeleton Level 45	Free-to-play	45	59	32	36	1	1	9	11	-2	1	4	4	4
Guard (Desert Mining Camp) - Brown hair	Guard (Desert Mining Camp) Brown hair	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Guard (Desert Mining Camp) - Coif	Guard (Desert Mining Camp) Coif	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Vampyre Juvenile - Burgh de Rott/Crombwick Manor	Vampyre Juvenile Burgh de Rott/Crombwick Manor	Members	45	60	40	30	1	1	0	0	0	0	0	0	0
Vampyre Juvenile - Meiyerditch/Darkmeyer	Vampyre Juvenile Meiyerditch/Darkmeyer	Members	45	60	40	30	1	1	0	0	0	0	0	0	0
Mercenary - Brown beard	Mercenary Brown beard	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Angry giant rat - Level 45	Angry giant rat Level 45	Members	45	200	37	38	1	1							
Guardian of Armadyl - Male	Guardian of Armadyl Male	Members	45	50	37	37	1	1	43	55	50	-12	51	51	51
Angry goblin - Level 45	Angry goblin Level 45	Members	45	200	37	38	1	1							
Crushing hand	Crushing hand	Members	45	55	45	14	1	1	0	0	0	0	0	0	0
Angry unicorn - Level 45	Angry unicorn Level 45	Members	45	200	37	38	1	1							
Guard (Desert Mining Camp) - Bald	Guard (Desert Mining Camp) Bald	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Guard (Desert Mining Camp) - Bronze helm	Guard (Desert Mining Camp) Bronze helm	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Mercenary - Coif	Mercenary Coif	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Gangster	Gangster	Members	45	40	40	50	1	1	0	0	10	0	0	0	0
Baby tanglefoot - Brown	Baby tanglefoot Brown	Members	45	40	40	40	1	1	0	0	0	0	0	0	0
Baby tanglefoot - Tan	Baby tanglefoot Tan	Members	45	40	40	40	1	1	0	0	0	0	0	0	0
Giant lobster	Giant lobster	Members	45	50	40	40	1	1	30	30	15	99	70	70	70
Monk of Zamorak - Level 45	Monk of Zamorak Level 45	Free-to-play	45	40	38	42	40	1	0	0	0	0	0	0	0
Mercenary - Facemask	Mercenary Facemask	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Mercenary - White beard	Mercenary White beard	Members	45	60	32	39	0	0	17	15	19	-3	19	19	19
Knight of Varlamore - 3	Knight of Varlamore 3	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Varlamore - 6	Knight of Varlamore 6	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Varlamore - 2	Knight of Varlamore 2	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Varlamore - 4	Knight of Varlamore 4	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Varlamore - 5	Knight of Varlamore 5	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Oomlie bird	Oomlie bird	Members	46	40	40	40	1	1	0	0	0	0	0	0	0
Nylocas Hagios - Small (Entry mode)	Nylocas Hagios Small (Entry mode)	Members	46	2	80	1	1	80	0	0	0	0	0	0	0
Nylocas Ischyros - Small (Entry mode)	Nylocas Ischyros Small (Entry mode)	Members	46	2	80	1	1	80	0	0	0	0	0	0	0
Tolna - East head	Tolna East head	Members	46	37	42	40	1	1	0	0	0	50	50	50	50
Nylocas Toxobolos - Small (Entry mode)	Nylocas Toxobolos Small (Entry mode)	Members	46	2	80	1	1	80	0	0	0	0	0	0	0
Tolna - South head	Tolna South head	Members	46	37	42	40	1	1	0	0	0	50	50	50	50
Tolna - North head	Tolna North head	Members	46	37	42	40	1	1	0	0	0	50	50	50	50
Swordchick	Swordchick	Members	46	35	41	45	1	1	0	0	0	0	0	0	0
Knight of Varlamore - 1	Knight of Varlamore 1	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Ardougne - West, male	Knight of Ardougne West, male	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Ardougne - West, female	Knight of Ardougne West, female	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Death spawn	Death spawn	Members	46	60	67	30	1	1	20	20	20	0	20	20	20
Forgotten Soul (Soul Wars) - Level 46	Forgotten Soul (Soul Wars) Level 46	Members	46	50	50	20	20	1	10	10	10	10	10	10	10
Animated Steel Armour	Animated Steel Armour	Members	46	40	40	40	1	1	50	25	19	400	400	400	400
Giant rat (Scurrius)	Giant rat (Scurrius)	Members	46	15	100	10	1	1	0	0	0	0	0	0	0
Harpie Bug Swarm	Harpie Bug Swarm	Members	46	25	54	32	1	1	10	5	10	5	10	10	10
Abyssal leech (The Scar) - Level 46	Abyssal leech (The Scar) Level 46	Members	46	30	1	1	1	1	0	0	0	0	0	0	0
Knight of Ardougne - Male	Knight of Ardougne Male	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Knight of Ardougne - Female	Knight of Ardougne Female	Members	46	52	38	31	1	1	39	40	36	-11	36	36	36
Corrupt Lizardman - Normal	Corrupt Lizardman Normal	Members	46	50	38	38	1	38	-10	25	0	0	0	0	0
Penance Fighter - Wave 5	Penance Fighter Wave 5	Members	47	38	41	44	1	1	0	0	0	0	0	0	0
Phantom Hand - Right Hand	Phantom Hand Right Hand	Members	47	12	100	8	8	1	0	0	0	0	0	0	0
Zombie (Tarn's Lair) - Level 47	Zombie (Tarn's Lair) Level 47	Members	47	42	42	42	1	1	20	20	0	0	10	10	10
Phantom Hand - Left Hand	Phantom Hand Left Hand	Members	47	12	100	8	8	1	0	0	0	0	0	0	0
Scorpia's guardian	Scorpia's guardian	Members	47	70	1	60	30	30	0	0	0	0	0	0	0
Jailer	Jailer	Members	47	47	40	40	1	1	79	63	47	0	0	0	0
Angry unicorn - Level 47	Angry unicorn Level 47	Members	47	50	38	38	1	1	0	0	0	0	0	0	0
Angry bear - Level 47	Angry bear Level 47	Members	47	50	38	38	1	1	0	0	0	0	0	0	0
Mercenary Captain	Mercenary Captain	Members	47	80	32	32	0	0	17	15	19	-3	19	19	19
Angry giant rat - Level 47	Angry giant rat Level 47	Members	47	50	38	38	1	1	0	0	0	0	0	0	0
Hobgoblin - Hobgoblin (GWD)	Hobgoblin Hobgoblin (GWD)	Members	47	52	39	35	1	1	0	0	0	0	0	0	0
King Roald - In combat	King Roald In combat	Members	47	75	35	30	1	1	0	0	0	0	0	0	0
Angry goblin - Level 47	Angry goblin Level 47	Members	47	50	38	38	1	1	0	0	0	0	0	0	0
